COUNTS
1	121
2	222
3	10
4	71
5	414
6	262
7	12
8	499
9	34
10	67
11	63
12	265
13	249
14	39
15	592
16	213
17	442
18	228
19	18
20	18
21	18
22	144
23	343
24	298
25	17
26	137
27	17

ISSUES
task	file	kind	detail
5	task_5_073.txt	missing_internal_variant	
5	task_5_075.txt	missing_internal_variant	
5	task_5_077.txt	missing_internal_variant	
5	task_5_083.txt	missing_internal_variant	
5	task_5_085.txt	missing_internal_variant	
5	task_5_087.txt	missing_internal_variant	
5	task_5_333.txt	missing_internal_variant	
5	task_5_375.txt	missing_internal_variant	
5	task_5_627.txt	missing_internal_variant	
5	task_5_675.txt	missing_internal_variant	
6	task_6_010.txt	missing_internal_variant	
6	task_6_012.txt	missing_internal_variant	
6	task_6_014.txt	missing_internal_variant	
6	task_6_016.txt	missing_internal_variant	
6	task_6_019.txt	missing_internal_variant	
6	task_6_021.txt	missing_internal_variant	
6	task_6_023.txt	missing_internal_variant	
6	task_6_025.txt	missing_internal_variant	
6	task_6_027.txt	missing_internal_variant	
6	task_6_029.txt	missing_internal_variant	
6	task_6_031.txt	missing_internal_variant	
6	task_6_033.txt	missing_internal_variant	
6	task_6_035.txt	missing_internal_variant	
6	task_6_037.txt	missing_internal_variant	
6	task_6_039.txt	missing_internal_variant	
6	task_6_041.txt	missing_internal_variant	
6	task_6_043.txt	missing_internal_variant	
6	task_6_045.txt	missing_internal_variant	
6	task_6_047.txt	missing_internal_variant	
6	task_6_049.txt	missing_internal_variant	
6	task_6_055.txt	missing_internal_variant	
6	task_6_057.txt	missing_internal_variant	
6	task_6_059.txt	missing_internal_variant	
6	task_6_061.txt	missing_internal_variant	
6	task_6_063.txt	missing_internal_variant	
6	task_6_065.txt	missing_internal_variant	
6	task_6_067.txt	missing_internal_variant	
6	task_6_069.txt	missing_internal_variant	
6	task_6_071.txt	missing_internal_variant	
6	task_6_080.txt	missing_internal_variant	
6	task_6_083.txt	missing_internal_variant	
6	task_6_085.txt	missing_internal_variant	
6	task_6_087.txt	missing_internal_variant	
6	task_6_089.txt	missing_internal_variant	
6	task_6_091.txt	missing_internal_variant	
6	task_6_093.txt	missing_internal_variant	
6	task_6_095.txt	missing_internal_variant	
6	task_6_115.txt	missing_internal_variant	
6	task_6_117.txt	missing_internal_variant	
6	task_6_119.txt	missing_internal_variant	
6	task_6_121.txt	missing_internal_variant	
6	task_6_123.txt	missing_internal_variant	
6	task_6_125.txt	missing_internal_variant	
6	task_6_127.txt	missing_internal_variant	
6	task_6_129.txt	missing_internal_variant	
6	task_6_131.txt	missing_internal_variant	
6	task_6_133.txt	missing_internal_variant	
6	task_6_135.txt	missing_internal_variant	
6	task_6_137.txt	missing_internal_variant	
6	task_6_139.txt	missing_internal_variant	
6	task_6_141.txt	missing_internal_variant	
6	task_6_143.txt	missing_internal_variant	
6	task_6_145.txt	missing_internal_variant	
